place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link,added_status_m,email,domain,error,last_scanned,recheck_status,email_domain,email_domain_match,loca,revised_loca
ChIJVVUSqvrGyhQRSZEnywpj8Mg,ALF HUKUK,,FALSE,2,,http://alfhukuk.com/,,,,Hukuk Burosu,,5,,,(0216) 417 88 72,"ALF HUKUK, ALTINTEPE MH. BAGDAT CD, Tipi Sk. NO:4, Maltepe/Istanbul",,https://www.google.com/maps/place/ALF+HUKUK/data=!4m7!3m6!1s0x14cac6faaa125555:0xc8f0630acb279149!8m2!3d40.9507611!4d29.1041123!16s%2Fg%2F11rv7530d4!19sChIJVVUSqvrGyhQRSZEnywpj8Mg?authuser=0&hl=tr&rclk=1,,hello@pearsonspecter.com,alfhukuk.com,,,0,pearsonspecter.com,False,Ti̇pi̇ Sokagi,Ti̇pi̇ Sokagi
ChIJnckqAfDIyhQRTiKcSZjBZXI,YDA HUKUK,,0,6,"Name: Av. Yakup AYBAKAN
link: https://www.google.com/maps/search/Av.+Yakup+AYBAKAN/@41.02603750000001,29.097676?authuser=0&entry=ttu
Reviews: 34 reviews

Name: AKAY Hukuk Ve Danismanlik
link: https://www.google.com/maps/search/AKAY+Hukuk+Ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.019355999999995,29.192413599999995?authuser=0&entry=ttu
Reviews: 21 reviews

Name: Yorukler Hukuk Burosu
link: https://www.google.com/maps/search/Y%C3%B6r%C3%BCkler+Hukuk+B%C3%BCrosu/@41.0246484,29.100863699999998?authuser=0&entry=ttu
Reviews: 4 reviews

Name: Altin & Dogan Hukuk Burosu
link: https://www.google.com/maps/search/Alt%C4%B1n+%26+Do%C4%9Fan+Hukuk+B%C3%BCrosu/@41.0203754,29.1224468?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Dc Hukuk & Danismanlik
link: https://www.google.com/maps/search/Dc+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0247095,29.098364300000004?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.ydahukuk.com/,YDA HUKUK (Sahibi),https://www.google.com/maps/contrib/111249620240210880484,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UzzH77EVjrfT_4Ae1EnNMg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=25.176828&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,4.8,09:00-18:00,"Cumartesi, Pazar",,"Camlik, YDA HUKUK, Dinc Sk. No:4/7, 34774 Umraniye/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJnckqAfDIyhQRTiKcSZjBZXI,0,info@ydahukuk.com,ydahukuk.com,,,0,ydahukuk.com,True,Di̇nc Sokagi,Di̇nc Sokagi
ChIJhW6S2DqjyhQRB2k2hfAjhbA,Izol Hukuk Burosu,,0,,"Name: Ilke Hukuk Burosu
link: https://www.google.com/maps/search/%C4%B0lke+Hukuk+B%C3%BCrosu/@40.99174680000001,28.834557299999997?authuser=0&entry=ttu
Reviews: 2 reviews

Name: Oner Hukuk ve Danismanlik
link: https://www.google.com/maps/search/%C3%96ner+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9903543,28.834403699999996?authuser=0&entry=ttu
Reviews: 2 reviews

Name: Intra Legal Hukuk ve Danismanlik Burosu
link: https://www.google.com/maps/search/Intra+Legal+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.9919226,28.8349121?authuser=0&entry=ttu
Reviews: 5 reviews

Name: avukat irem ozcoban hukuk ve danismanlik ofisi
link: https://www.google.com/maps/search/avukat+irem+%C3%B6z%C3%A7oban+hukuk+ve+dan%C4%B1%C5%9Fmanl%C4%B1k+ofisi/@40.9918013,28.833951399999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Burcu Atik Hukuk & Danismanlik & Arabuluculuk
link: https://www.google.com/maps/search/Burcu+Atik+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+%26+Arabuluculuk/@40.9920084,28.8350907?authuser=0&entry=ttu
Reviews: 9 reviews",https://www.ilkatizol.av.tr/,Izol Hukuk Burosu (Sahibi),https://www.google.com/maps/contrib/105371542064992131501,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6VleBCcmjovsntp45mVpPw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=220.20781&pitch=0&thumbfov=100,Hukuk Hizmetleri,Hukuk Hizmetleri,,,Open All Days,(0212) 570 07 70,"Atakoy 7-8-9-10, Izol Hukuk Burosu, Nef 22, D-100 Guney Yanyolu No:176 C Blok, 34158 Bakirkoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJhW6S2DqjyhQRB2k2hfAjhbA,1,info@ilkatizol.av.tr,ilkatizol.av.tr,,,0,ilkatizol.av.tr,True,,
ChIJVTBR4SO3yhQRRlLmKOAP-DI,Sop & Akay Hukuk,,0,32,"Name: AKAY HUKUK BUROSU
link: https://www.google.com/maps/search/AKAY+HUKUK+B%C3%9CROSU/@41.057055999999996,29.009520999999996?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Akyuz Hukuk Burosu (Abdullah AKYUZ)
link: https://www.google.com/maps/search/Aky%C3%BCz+Hukuk+B%C3%BCrosu+%28Abdullah+AKY%C3%9CZ%29/@41.071367699999996,28.977365700000004?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AKIN HUKUK AVUKATLIK & HUKUKI DANISMANLIK
link: https://www.google.com/maps/search/AKIN+HUKUK+AVUKATLIK+%26+HUKUK%C4%B0+DANI%C5%9EMANLIK/@41.06885,28.977629?authuser=0&entry=ttu
Reviews: 15 reviews

Name: AYK Hukuk ve Danismanlik
link: https://www.google.com/maps/search/AYK+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0645532,28.9873237?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Say Hukuk
link: https://www.google.com/maps/search/Say+Hukuk/@41.1803421,28.8838275?authuser=0&entry=ttu
Reviews: 1 reviews",http://www.sop-akayhukuk.com/,Sop & Akay Hukuk (Sahibi),,//lh5.googleusercontent.com/irYVmHKMoYeloZ2NyaGgsbfVhF9UsfQzdTayVvH2nBgh1TU4zuuyfJNo5GQF1Xecaw=w426-h240-k-no,Hukuk Burosu,Hukuk Burosu,3.4,,Open All Days,(0212) 296 77 77,"Sop & Akay Hukuk, No:15 Eksioglu Is Merkezi Gursel Mahallesi Fulya Sokak Kagithane Istanbul TR 34400, Fulya Sk., 34400 Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJVTBR4SO3yhQRRlLmKOAP-DI,1,email@email.email,sop-akayhukuk.com,,,0,email.email,False,,
ChIJn6NXoOK3yhQR_uAr_iDjXMo,OTA Hukuk Burosu - Av. Omur TUNCELI,,0,1,"Name: OTA HUKUK BUROSU
link: https://www.google.com/maps/search/OTA+HUKUK+B%C3%9CROSU/@41.088048,29.022578?authuser=0&entry=ttu
Reviews: 8 reviews

Name: DBA Hukuk Burosu
link: https://www.google.com/maps/search/DBA+Hukuk+B%C3%BCrosu/@41.0720682,28.9802967?authuser=0&entry=ttu
Reviews: 4 reviews

Name: YORUK Hukuk Burosu
link: https://www.google.com/maps/search/Y%C3%96R%C3%9CK+Hukuk+B%C3%BCrosu/@41.0770951,28.971876499999993?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Otag
link: https://www.google.com/maps/search/Ota%C4%9F/@41.0740433,28.981671000000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Dirik Hukuk & Arabuluculuk Burosu
link: https://www.google.com/maps/search/Dirik+Hukuk+%26+Arabuluculuk+B%C3%BCrosu/@41.0768,28.9710566?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.otahukuk.com/,OTA Hukuk Burosu - Av. Omur TUNCELI (Sahibi),https://www.google.com/maps/contrib/106410107292279639394,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HsEgSNrDd_UPnFzPM3VuXw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=39.774467&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,5,08:30-18:00,"Cumartesi, Pazar",(0212) 294 87 71,"OTA Hukuk Burosu - Av. Omur TUNCELI, Merkez Mah. Kagithane Caddesi No: 5 Dap Vadisi Y Ofis D: 26-27, 34000 Kagithane/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJn6NXoOK3yhQR_uAr_iDjXMo,0,nevzat.akz@gmail.com,otahukuk.com,,,0,gmail.com,False,Kagi̇thane Caddesi,Kagi̇thane Caddesi
ChIJeYziMNnHyhQR5bIwoQCDCKo,KAIM HUKUK & DANISMANLIK,,0,2,"Name: Kaim Hukuk Taksim Ofisi
link: https://www.google.com/maps/search/Kaim+Hukuk+Taksim+Ofisi/@41.0315292,28.976149999999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AKG LAW
link: https://www.google.com/maps/search/AKG+LAW/@40.9927692,29.038795200000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: A.K.A Hukuk ve Danismanlik
link: https://www.google.com/maps/search/A.K.A+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9876636,29.0279036?authuser=0&entry=ttu
Reviews: 0 reviews

Name: N&G Avukatlik&Arabuluculuk
link: https://www.google.com/maps/search/N%26G+Avukatl%C4%B1k%26Arabuluculuk/@40.993404999999996,29.035589?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Anka Hukuk ve Danismanlik Burosu
link: https://www.google.com/maps/search/Anka+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.986064999999996,29.028591000000002?authuser=0&entry=ttu
Reviews: 1 reviews",http://www.kaimhukuk.com/,KAIM HUKUK & DANISMANLIK (Sahibi),,//lh3.googleusercontent.com/NkxsTWv9Yyv-u5g2rHrhbga6giPfSOW187XVwCqqCPD966ai6596LIRQUj-y9VN0=w426-h240-k-no,Hukuk Burosu,Hukuk Burosu,5,09:00-18:00,"Cumartesi, Pazar",(0216) 330 62 80,"Hasanpasa, KAIM HUKUK & DANISMANLIK, D:No:2, Fahrettin Kerim Gokay Cd No:19, 34722 Kadikoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJeYziMNnHyhQR5bIwoQCDCKo,1,info@kaimhukuk.com,kaimhukuk.com,,,0,kaimhukuk.com,True,Fahretti̇n Keri̇m Gokay Caddesi,Fahretti̇n Keri̇m Gokay Caddesi
ChIJIboQFS27yhQRqazTIO0FzOo,GMC HUKUK Gemciler Hukuk ve Danismanlik,,0,3,"Name: Gmc Hukuk
link: https://www.google.com/maps/search/Gmc+Hukuk/@40.9948698,28.8763082?authuser=0&entry=ttu
Reviews: 1 reviews

Name: MG Hukuk Danismanlik Avukatlik Marka - Patent
link: https://www.google.com/maps/search/MG+Hukuk+Dan%C4%B1%C5%9Fmanl%C4%B1k+Avukatl%C4%B1k+Marka+-+Patent/@40.9947781,28.882924?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Guney Avukatlik & Danismanlik
link: https://www.google.com/maps/search/G%C3%BCney+Avukatl%C4%B1k+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.995048499999996,28.8785922?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Guler Hukuk ve Danismanlik burosu
link: https://www.google.com/maps/search/G%C3%BCler+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k+b%C3%BCrosu/@40.993195799999995,28.8765391?authuser=0&entry=ttu
Reviews: 2 reviews

Name: DCS Hukuk Burosu
link: https://www.google.com/maps/search/D%C3%87S+Hukuk+B%C3%BCrosu/@40.9950312,28.8759442?authuser=0&entry=ttu
Reviews: 4 reviews",http://gmchukuk.com/,GMC HUKUK Gemciler Hukuk ve Danismanlik (Sahibi),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PVBQSRqpQA1E1cS473VHSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=128.6591&pitch=0&thumbfov=100,Hukuk Hizmetleri,Hukuk Hizmetleri,2.3,,Open All Days,(0212) 570 34 46,"GMC HUKUK Gemciler Hukuk ve Danismanlik, Osmaniye Mah. Caglar Sok. Girisim Konaklari A Blok No:16 K, 1/D Sk. No:3, Bakirkoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJIboQFS27yhQRqazTIO0FzOo,1,info@gmchukuk.com,gmchukuk.com,,2023-12-25 02:57:49,1,gmchukuk.com,True,D Sokagi,D Sokagi
ChIJpXHCvJ27yhQRyO5wyBYgPNg,Oktem Hukuk Burosu,,0,29,"Name: Okten Law Firm
link: https://www.google.com/maps/search/%C3%96kten+Law+Firm/@41.066949199999996,28.998649399999994?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Serdar Yilmaz Hukuk Burosu / Serdar Yilmaz Law Office
link: https://www.google.com/maps/search/Serdar+Y%C4%B1lmaz+Hukuk+B%C3%BCrosu+%2F+Serdar+Y%C4%B1lmaz+Law+Office/@41.071664999999996,29.011170999999994?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Cetinkaya Hukuk Burosu
link: https://www.google.com/maps/search/%C3%87etinkaya+Hukuk+B%C3%BCrosu/@41.072952,29.011794499999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Gumussuyu Hukuk Burosu
link: https://www.google.com/maps/search/G%C3%BCm%C3%BC%C5%9Fsuyu+Hukuk+B%C3%BCrosu/@41.0705317,29.0147876?authuser=0&entry=ttu
Reviews: 2 reviews

Name: ACK Hukuk Burosu
link: https://www.google.com/maps/search/ACK+Hukuk+B%C3%BCrosu/@41.068592699999996,29.007892000000002?authuser=0&entry=ttu
Reviews: 1 reviews",http://serdaroktem.av.tr/,Oktem Hukuk Burosu (Sahibi),https://www.google.com/maps/contrib/104748330266074019534,https://lh5.googleusercontent.com/p/AF1QipOvZ4TGtjG_M4Cmqa-Zf9tcI8WS6waeK0vcK_Qq=w408-h544-k-no,Hukuk Burosu,"Hukuk Burosu, Hukuk Hizmetleri",4.4,09:00-18:30,"Cumartesi, Pazar",(0212) 347 44 34,"Esentepe, Oktem Hukuk Burosu, Enka Is Merkezi kat:10, Buyukdere Cd. No:108, 34360 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJpXHCvJ27yhQRyO5wyBYgPNg,1,info@serdaroktem.av.tr,serdaroktem.av.tr,,,0,serdaroktem.av.tr,True,Buyukdere Caddesi,Buyukdere Caddesi
ChIJkeBxEXW3yhQRSEb0SvfVUf0,SEZEKKAPLAN LAWYERS,,0,3,"Name: Selvi Attorney Partnership
link: https://www.google.com/maps/search/Selvi+Attorney+Partnership/@41.0424468,29.001153000000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Baskan Avukatlik ve Danismanlik
link: https://www.google.com/maps/search/Ba%C5%9Fkan+Avukatl%C4%B1k+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.047961300000004,28.999213199999996?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AKKAYA & PARTNERS
link: https://www.google.com/maps/search/AKKAYA+%26+PARTNERS/@41.0808489,29.0177689?authuser=0&entry=ttu
Reviews: 5 reviews

Name: Selek Law
link: https://www.google.com/maps/search/Selek+Law/@41.0363521,28.989687200000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Yucel Goktas
link: https://www.google.com/maps/search/Avukat+Y%C3%BCcel+G%C3%B6kta%C5%9F/@41.043058599999995,29.0083462?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.sezekkaplan.com/,SEZEKKAPLAN LAWYERS (Sahibi),https://www.google.com/maps/contrib/108456749218392383973,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bJH7iNby4OxxbseNIDiPzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.70578&pitch=0&thumbfov=100,Avukat,Avukat,5,08:30-18:00,"Cumartesi, Pazar",(0212) 261 79 15,"Visnezade, SEZEKKAPLAN LAWYERS, Suleyman Seba Cd. No:85, 34357 Besiktas/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJkeBxEXW3yhQRSEb0SvfVUf0,1,idil.seval@sezekkaplan.com,sezekkaplan.com,,,0,sezekkaplan.com,True,Suleyman Seba Caddesi,Suleyman Seba Caddesi
ChIJ3ZVpTFjHyhQRYK3bcnaXp80,Heuvels Uras Law Firm,,FALSE,,,https://heuvels-uras.com/,,,,Hukuk Burosu,,,,,0530 464 20 07,"Caddebostan, Heuvels Uras Law Firm, Operator Cemil Topuzlu Cd. No. 59/3, 34728 Kadikoy/Istanbul",,https://www.google.com/maps/place/Heuvels+Uras+Law+Firm/data=!4m7!3m6!1s0x14cac7584c6995dd:0xcda7977672dbad60!8m2!3d40.9690269!4d29.054346!16s%2Fg%2F11qpv3jrrb!19sChIJ3ZVpTFjHyhQRYK3bcnaXp80?authuser=0&hl=tr&rclk=1,,info@heuvels-uras.com,heuvels-uras.com,,,0,heuvels-uras.com,True,Operator Cemi̇l Topuzlu Caddesi,Operator Cemi̇l Topuzlu Caddesi
