place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link,added_status_m,email,domain,error,last_scanned,recheck_status,email_domain,email_domain_match,loca
ChIJRe8GSV66yhQRX8fEtmEcdXg,CONCORD HUKUKI DANISMANLIK VE AVUKATLIK OFISI,,0,,"Name: Karol
link: https://www.google.com/maps/search/Karol/@40.9940725,29.063716799999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Cetinkaya Hukuk & Danismanlik Burosu
link: https://www.google.com/maps/search/%C3%87etinkaya+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.9941245,29.0640303?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Kocak Hukuk & Danismanlik - Av. Damla KOCAK
link: https://www.google.com/maps/search/Ko%C3%A7ak+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+-+Av.+Damla+KO%C3%87AK/@40.9944839,29.059116799999998?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Hakan Durak Hukuk Burosu
link: https://www.google.com/maps/search/Hakan+Durak+Hukuk+B%C3%BCrosu/@40.9962638,29.0560788?authuser=0&entry=ttu
Reviews: 3 reviews",http://www.concordhukuk.com/,CONCORD HUKUKI DANISMANLIK VE AVUKATLIK OFISI (Sahibi),https://www.google.com/maps/contrib/104501038223265674734,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=D0lFOmil-2nWoFrGus8KQw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=287.4399&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,,09:00-18:00,"Cumartesi, Pazar",(0216) 391 40 50,"Dumlupinar Mh, CONCORD HUKUKI DANISMANLIK VE AVUKATLIK OFISI, Teknik Yapi Concord, Yumurtaci Abdibey Cd D:1.Etap No:15 B Blok D:2, 34010 Kadikoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJRe8GSV66yhQRX8fEtmEcdXg,1,fenesdinc@gmail.com,concordhukuk.com,,,0,gmail.com,False,Yumurtaci̇ Abdi̇bey caddesi
ChIJO1IoYFujyhQRUHVw2euYLzA,Point Law Firm,,FALSE,,,https://www.pointlawfirm.com/,,,,Hukuk Burosu,,,,,0507 209 04 08,"Point Law Firm, Nish Istanbul Residence, Atakoy 7-8-9-10. Kisim Mah. Cobancesme E-5 Yanyol Nef 22 Sitesi D Blok d:56, C t: 10 No:125, 34100 Bakirkoy/Istanbul",,https://www.google.com/maps/place/Point+Law+Firm/data=!4m7!3m6!1s0x14caa35b6028523b:0x302f98ebd9707550!8m2!3d40.9901267!4d28.8342648!16s%2Fg%2F11fmdxhz89!19sChIJO1IoYFujyhQRUHVw2euYLzA?authuser=0&hl=tr&rclk=1,,emin@pointlawfirm.com,pointlawfirm.com,,,0,pointlawfirm.com,True,Ni̇sh İstanbul rezidansi
ChIJNZSdiAy3yhQR7dpwkKOh8QY,Arda Consultancy,,0,,"Name: ARDA HUKUK BUROSU (Av. Murat Guler)
link: https://www.google.com/maps/search/ARDA+HUKUK+B%C3%9CROSU+%28Av.+Murat+G%C3%BCler%29/@41.023913199999996,28.972827099999996?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Ada Legal
link: https://www.google.com/maps/search/Ada+Legal/@41.050159,28.9917339?authuser=0&entry=ttu
Reviews: 7 reviews

Name: Arda Hukuk&Danismanlik
link: https://www.google.com/maps/search/Arda+Hukuk%26Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0527307,29.010394200000004?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Acd Law & Consultancy
link: https://www.google.com/maps/search/Acd+Law+%26+Consultancy/@41.073322,28.980408999999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: CAN + Law and Consulting Firm
link: https://www.google.com/maps/search/CAN+%2B+Law+and+Consulting+Firm/@41.0521314,28.9910581?authuser=0&entry=ttu
Reviews: 0 reviews",http://ardaadanismanlik.com/,Arda Consultancy (Sahibi),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XGKmq2CehJ1jW1xMZT7r3g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=227.76308&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,,,Open All Days,0533 213 29 92,"Tesvikiye, Arda Consultancy, District, Abdi Ipekci Cd. No:44, 34367 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJNZSdiAy3yhQR7dpwkKOh8QY,0,contact@info.com,ardaadanismanlik.com,,,0,info.com,False,Abdi̇ İpekci̇ caddesi
ChIJDY7mkGe2yhQR6Oypbp4h59Q,Coskun Hukuk Burosu,,0,3,"Name: Coskun Hukuk
link: https://www.google.com/maps/search/Co%C5%9Fkun+Hukuk/@41.0736266,29.016486999999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Koc Law Offices
link: https://www.google.com/maps/search/Ko%C3%A7+Law+Offices/@41.051209500000006,29.006962599999998?authuser=0&entry=ttu
Reviews: 4 reviews

Name: Atilgan Hukuk Burosu
link: https://www.google.com/maps/search/At%C4%B1l%C4%9Fan+Hukuk+B%C3%BCrosu/@41.0672989,28.990304199999997?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Soysal Hukuk Burosu
link: https://www.google.com/maps/search/Soysal+Hukuk+B%C3%BCrosu/@41.0423864,29.002877400000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Dogan Hukuk Burosu
link: https://www.google.com/maps/search/Do%C4%9Fan+Hukuk+B%C3%BCrosu/@41.0400574,28.9852062?authuser=0&entry=ttu
Reviews: 3 reviews",http://www.clolaw.net/,Coskun Hukuk Burosu (Sahibi),https://www.google.com/maps/contrib/105323017857799719365,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KubU681bUhbqsTL1uda37w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=245.16528&pitch=0&thumbfov=100,Avukatlik Danisma Hizmeti,Avukatlik Danisma Hizmeti,2.3,,Open All Days,(0212) 280 86 61,"Coskun Hukuk Burosu, Levent Harman Sokak, Harmanci Giz Plaza, Kat 21, 34394 Besiktas",,https://www.google.com/maps/place/?q=place_id:ChIJDY7mkGe2yhQR6Oypbp4h59Q,1,clo@clolaw.net,clolaw.net,,,0,clolaw.net,True,Levent Harman sokagi
ChIJnzvma4_PyhQReBbz1DVqbVU,SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK,,0,332,"Name: Durmaz Hukuk Burosu Sancaktepe | Avukat Eyup Durmaz
link: https://www.google.com/maps/search/Durmaz+Hukuk+B%C3%BCrosu+Sancaktepe+%7C+Avukat+Ey%C3%BCp+Durmaz/@41.0089626,29.241324999999996?authuser=0&entry=ttu
Reviews: 30 reviews

Name: KAFKAS HUKUK MUSAVIRLIGI
link: https://www.google.com/maps/search/KAFKAS+HUKUK+M%C3%9C%C5%9EAV%C4%B0RL%C4%B0%C4%9E%C4%B0/@40.992776,29.232661?authuser=0&entry=ttu
Reviews: 10 reviews

Name: Aysen Baykan Hukuk Burosu
link: https://www.google.com/maps/search/Ay%C5%9Fen+Baykan+Hukuk+B%C3%BCrosu/@40.972739,29.2403756?authuser=0&entry=ttu
Reviews: 36 reviews

Name: Anka Hukuk Danismanlik
link: https://www.google.com/maps/search/Anka+Hukuk+Dani%C5%9Fmanlik/@41.0056594,29.2161447?authuser=0&entry=ttu
Reviews: 9 reviews

Name: Korkmaz Hukuk Burosu
link: https://www.google.com/maps/search/Korkmaz+Hukuk+B%C3%BCrosu/@40.997943400000004,29.1357959?authuser=0&entry=ttu
Reviews: 1 reviews",http://www.selverakkoyunkorkmaz.av.tr/,SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK (Sahibi),https://www.google.com/maps/contrib/107853292376505960702,https://lh5.googleusercontent.com/p/AF1QipP51JRLRHupZTJYGNU7yaeucNbuMIcAw2DbHo4G=w408-h306-k-no,Hukuk Burosu,Hukuk Burosu,5,08:00-20:05,Open All Days,0544 904 32 64,"Abdurrahmangazi, SANCAKTEPE AVUKAT SELVER AKKOYUN KORKMAZ | GOKHAN HUKUK & DANISMANLIK, Bennur Sk. No:3/1, 34887 Sancaktepe/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJnzvma4_PyhQReBbz1DVqbVU,0,info@selverakkoyunkorkmaz.av.tr,selverakkoyunkorkmaz.av.tr,,,0,selverakkoyunkorkmaz.av.tr,True,Bennur sokagi
ChIJ8TM3EQW3yhQRP9PA56DpJ68,Nisbetiye Hukuk & Danismanlik,,0,5,"Name: ERKUL HUKUK BUROSU
link: https://www.google.com/maps/search/ERKUL+HUKUK+B%C3%9CROSU/@41.035936799999995,28.990746200000004?authuser=0&entry=ttu
Reviews: 7 reviews

Name: Biten Hukuk Burosu
link: https://www.google.com/maps/search/Biten+Hukuk+B%C3%BCrosu/@41.0128899,28.907245099999997?authuser=0&entry=ttu
Reviews: 4 reviews

Name: ATASOY HUKUK BUROSU(AVUKATLIK&HUKUKI DANISMANLIK)
link: https://www.google.com/maps/search/ATASOY+HUKUK+B%C3%9CROSU%28AVUKATLIK%26HUKUK%C4%B0+DANI%C5%9EMANLIK%29/@41.012336399999995,28.9094835?authuser=0&entry=ttu
Reviews: 5 reviews

Name: Inci Hukuk Burosu
link: https://www.google.com/maps/search/%C4%B0nci+Hukuk+B%C3%BCrosu/@41.0125731,28.9065618?authuser=0&entry=ttu
Reviews: 0 reviews

Name: ANALIZ HUKUK BUROSU
link: https://www.google.com/maps/search/ANAL%C4%B0Z+HUKUK+B%C3%9CROSU/@41.0136745,28.908142899999994?authuser=0&entry=ttu
Reviews: 0 reviews",https://www.nisbetiyehukuk.com/,Nisbetiye Hukuk & Danismanlik (Sahibi),https://www.google.com/maps/contrib/116782806055816071141,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3F0DB8O9fkq_3HPxDfkutQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=5.9809394&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,4.2,09:00-18:30,Pazar,(0212) 264 51 98,"Nisbetiye Hukuk & Danismanlik, Merkezefendi Mah. Mevlana Cad. A-7 Blok D:1, 34015 Zeytinburnu/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJ8TM3EQW3yhQRP9PA56DpJ68,0,info@nisbetiyehukuk.com,nisbetiyehukuk.com,,2023-12-25 03:17:34,1,nisbetiyehukuk.com,True,Mevlana caddesi
ChIJX1jHnkq3yhQRUCf4l3hsrEQ,Bilge Hukuk Danismanlik Arabuluculuk Burosu,,0,12,"Name: Abide Hukuk Burosu
link: https://www.google.com/maps/search/Abide+Hukuk+B%C3%BCrosu/@41.066484,28.986698999999998?authuser=0&entry=ttu
Reviews: 4 reviews

Name: Avukat Uzeyir Bilgin | Bilgin Hukuk Burosu
link: https://www.google.com/maps/search/Avukat+%C3%9Czeyir+Bilgin+%7C+Bilgin+Hukuk+B%C3%BCrosu/@41.0688691,28.976542900000002?authuser=0&entry=ttu
Reviews: 10 reviews

Name: Bilgin Hukuk Burosu
link: https://www.google.com/maps/search/Bilgin+Hukuk+B%C3%BCrosu/@41.060243899999996,28.969396600000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Bilge Avukatlik ve Hukuki Danismanlik Burosu
link: https://www.google.com/maps/search/Bilge+Avukatl%C4%B1k+ve+Hukuki+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@41.022028399999996,28.9442638?authuser=0&entry=ttu
Reviews: 1 reviews",https://www.bilgehukuk.com/,Bilge Hukuk Danismanlik Arabuluculuk Burosu (Sahibi),https://www.google.com/maps/contrib/117461814279553341686,//lh3.googleusercontent.com/Oz1Wv9reyX0Wv478el7dGRmRK-rQGPfyFa3i3Z4B7Q5gOaXW527anbdWPwAK0vIO=w408-h306-k-no,Hukuk Burosu,Hukuk Burosu,4.1,09:00-18:00,"Cumartesi, Pazar",(0212) 343 63 94,"Izzetpasa, Bilge Hukuk Danismanlik Arabuluculuk Burosu, Ayazma Yolu Sk. No:3/2, 34387 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJX1jHnkq3yhQRUCf4l3hsrEQ,1,mehmetaldemir@bilgehukuk.com,bilgehukuk.com,,,0,bilgehukuk.com,True,Ayazma Yolu sokagi
ChIJaz8C3Qi3yhQR9DQDVaMOlgo,Cetinel Law Firm,,0,3,"Name: Istanbul Legal
link: https://www.google.com/maps/search/%C4%B0stanbul+Legal/@41.055703099999995,28.9871834?authuser=0&entry=ttu
Reviews: 3 reviews

Name: Celik avukatlik
link: https://www.google.com/maps/search/%C3%87elik+avukatl%C4%B1k/@41.049582099999995,28.992469999999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Cetin Partners Hukuk Burosu
link: https://www.google.com/maps/search/%C3%87etin+Partners+Hukuk+B%C3%BCrosu/@41.057415,28.987254999999994?authuser=0&entry=ttu
Reviews: 6 reviews

Name: Cetin & Cetin Hukuk Burosu
link: https://www.google.com/maps/search/%C3%87etin+%26+%C3%87etin+Hukuk+B%C3%BCrosu/@41.067251399999996,28.994660999999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Cetin - Demir Law Firm
link: https://www.google.com/maps/search/Cetin+-+Demir+Law+Firm/@41.059877,28.97806?authuser=0&entry=ttu
Reviews: 1 reviews",https://www.ycetinel.av.tr/,Cetinel Law Firm (Sahibi),https://www.google.com/maps/contrib/108320494180419595795,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kSGrzLTylcIJKuZ7EuQQkw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=225.62836&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,4,09:30-18:30,"Cumartesi, Pazar",(0212) 246 47 69,"Tesvikiye, Cetinel Law Firm, Poyracik Sk No:51, 34365 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJaz8C3Qi3yhQR9DQDVaMOlgo,1,info@ycetinel.av.tr,ycetinel.av.tr,,2023-12-25 02:57:42,1,ycetinel.av.tr,True,Poyraci̇k sokagi
ChIJ2f7G0v-2yhQR4AxIm3on-Yw,Hasan Erdem Hukuk ve Danismanlik,,0,,"Name: HUKUK & DANISMANLIK BUROSU
link: https://www.google.com/maps/search/HUKUK+%26+DANI%C5%9EMANLIK+B%C3%9CROSU/@41.065379199999995,28.996112599999996?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Erdem & Erdem Hukuk Burosu
link: https://www.google.com/maps/search/Erdem+%26+Erdem+Hukuk+B%C3%BCrosu/@41.076730999999995,29.0133843?authuser=0&entry=ttu
Reviews: 15 reviews

Name: Erdem Hukuk Burosu
link: https://www.google.com/maps/search/Erdem+Hukuk+B%C3%BCrosu/@41.049693700000006,28.991585099999995?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Avar Hukuk&Danismanlik
link: https://www.google.com/maps/search/Avar+Hukuk%26Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0669135,28.9982695?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Ismet Erdemoglu
link: https://www.google.com/maps/search/Avukat+%C4%B0smet+Erdemo%C4%9Flu/@41.0676456,28.9982058?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.erdem.av.tr/,Hasan Erdem Hukuk ve Danismanlik (Sahibi),https://www.google.com/maps/contrib/107587470431872260877,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HFrBhUdjl_S_6siT0bSmIg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=264.33414&pitch=0&thumbfov=100,Is Hukuku Avukati,Is Hukuku Avukati,,09:00-18:00,"Cumartesi, Pazar",,"Fulya, Hasan Erdem Hukuk ve Danismanlik, Ortaklar Cd. No:20 D:10, 34394 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJ2f7G0v-2yhQR4AxIm3on-Yw,1,bilgi@erdem.av.tr,erdem.av.tr,,,0,erdem.av.tr,True,Ortaklar caddesi
ChIJlbzENavFyhQRp7MLOmCEoDI,Emirhan Arslan Hukuk Ve Danismanlik,,0,2,"Name: AVUKAT BAYRAM ARSLAN VATAN HUKUK BUROSU
link: https://www.google.com/maps/search/AVUKAT+BAYRAM+ARSLAN+VATAN+HUKUK+B%C3%9CROSU/@41.0727285,28.980227700000004?authuser=0&entry=ttu
Reviews: 19 reviews

Name: ALBAYRAK Hukuk ve Danismanlik
link: https://www.google.com/maps/search/ALBAYRAK+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0730688,28.9817662?authuser=0&entry=ttu
Reviews: 4 reviews

Name: KAN Hukuk
link: https://www.google.com/maps/search/KAN+Hukuk/@41.0740276,28.981465999999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AVUKAT EBRAR NUR YASAR - YASAR HUKUK & DANISMANLIK
link: https://www.google.com/maps/search/AVUKAT+EBRAR+NUR+YA%C5%9EAR+-+YA%C5%9EAR+HUKUK+%26+DANI%C5%9EMANLIK/@41.0712808,28.983700299999995?authuser=0&entry=ttu
Reviews: 3 reviews

Name: Sungur Hukuk ve Danismanlik
link: https://www.google.com/maps/search/Sungur+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.072034599999995,28.9803137?authuser=0&entry=ttu
Reviews: 0 reviews",http://emirhanarslan.av.tr/,Emirhan Arslan Hukuk Ve Danismanlik (Sahibi),https://www.google.com/maps/contrib/110874282924076898173,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TlEOS3eodaFBHWTMT67G3w&cb_client=search.gws-prod.gps&w=408&h=240&yaw=212.4889&pitch=0&thumbfov=100,Avukat,Avukat,5,09:00-18:00,"Cumartesi, Pazar",0530 181 54 44,"Caglayan, Emirhan Arslan Hukuk Ve Danismanlik, Park Cd Hukukcular Sitesi No:23/10, 34403 Kagithane/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJlbzENavFyhQRp7MLOmCEoDI,1,av.emirhanarslan@gmail.com,emirhanarslan.av.tr,,,0,gmail.com,False,Park caddesi
