place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link,added_status_m,email,domain,error,last_scanned,recheck_status,email_domain,email_domain_match,loca,revised_loca
ChIJkeBxEXW3yhQRSEb0SvfVUf0,SEZEKKAPLAN LAWYERS,,0,3.0,"Name: Selvi Attorney Partnership
link: https://www.google.com/maps/search/Selvi+Attorney+Partnership/@41.0424468,29.001153000000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Baskan Avukatlik ve Danismanlik
link: https://www.google.com/maps/search/Ba%C5%9Fkan+Avukatl%C4%B1k+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.047961300000004,28.999213199999996?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AKKAYA & PARTNERS
link: https://www.google.com/maps/search/AKKAYA+%26+PARTNERS/@41.0808489,29.0177689?authuser=0&entry=ttu
Reviews: 5 reviews

Name: Selek Law
link: https://www.google.com/maps/search/Selek+Law/@41.0363521,28.989687200000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Yucel Goktas
link: https://www.google.com/maps/search/Avukat+Y%C3%BCcel+G%C3%B6kta%C5%9F/@41.043058599999995,29.0083462?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.sezekkaplan.com/,SEZEKKAPLAN LAWYERS (Sahibi),https://www.google.com/maps/contrib/108456749218392383973,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bJH7iNby4OxxbseNIDiPzg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.70578&pitch=0&thumbfov=100,Avukat,Avukat,5.0,08:30-18:00,"Cumartesi, Pazar",(0212) 261 79 15,"Visnezade, SEZEKKAPLAN LAWYERS, Suleyman Seba Cd. No:85, 34357 Besiktas/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJkeBxEXW3yhQRSEb0SvfVUf0,1.0,yasemin.boyraz@sezekkaplan.com,sezekkaplan.com,,,0,sezekkaplan.com,True,Suleyman Seba Caddesi,Suleyman Seba Caddesi
ChIJ1882qN21yhQRz-LzjJHS_XY,"Kurucuk & Associates Law Firm Istanbul Turkey | Lawyers in Istanbul, Turkey | Turkish Immigration & Legal Consultancy",,0,143.0,"Name: Celiktas Law Firm
link: https://www.google.com/maps/search/Celiktas+Law+Firm/@41.118652399999995,29.0089179?authuser=0&entry=ttu
Reviews: 15 reviews

Name: Kirbiyik Hukuk Burosu
link: https://www.google.com/maps/search/K%C4%B1rb%C4%B1y%C4%B1k+Hukuk+B%C3%BCrosu/@41.119989000000004,29.006967199999995?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Kilic Hukuk Burosu
link: https://www.google.com/maps/search/K%C4%B1l%C4%B1%C3%A7+Hukuk+B%C3%BCrosu/@41.1099384,29.0205376?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Karal Hukuki Danismanlik
link: https://www.google.com/maps/search/Karal+Hukuki+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.118569,29.0101405?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Gider Law Office
link: https://www.google.com/maps/search/Gider+Law+Office/@41.117227299999996,29.014942800000004?authuser=0&entry=ttu
Reviews: 0 reviews",https://www.kurucuk.com.tr/,"Kurucuk & Associates Law Firm Istanbul Turkey | Lawyers in Istanbul, Turkey | Turkish Immigration & Legal Consultancy (Sahibi)",https://www.google.com/maps/contrib/117517512133136788709,https://lh5.googleusercontent.com/p/AF1QipPLyAr1o8ldjHvJdW8Aceb7zpnvg2sRK6B6oKGQ=w408-h306-k-no,Hukuk Burosu,"Hukuk Burosu, Avukatlik Danisma Hizmeti, Ceza Avukati, Borc Tahsilati, Bosanma Avukati, Is Hukuku Avukati, Gocmenlik ve Yurttasliga Kabul Hizmetleri, Gocmenlik Hukuku Avukati, Avukat, Hukuk Hizmetleri",5.0,24 saat acik,Open All Days,(0212) 812 25 00,"Kurucuk & Associates Law Firm Istanbul Turkey | Lawyers in Istanbul, Turkey | Turkish Immigration & Legal Consultancy, Maslak Mahallesi 1453 Caddesi C13 Blok, 34398 Sariyer/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJ1882qN21yhQRz-LzjJHS_XY,1.0,info@kurucuk.com.tr,kurucuk.com.tr,,,0,kurucuk.com.tr,True,Maslak Mahallesi,Maslak Mahallesi
ChIJr6xOcGu3yhQRApYCsS1r2eg,Kocdemir Ozbek Hukuk ve Danismanlik,,0,1.0,"Name: OZDEMIR HUKUK BUROSU
link: https://www.google.com/maps/search/%C3%96ZDEM%C4%B0R+HUKUK+B%C3%9CROSU/@41.020441999999996,29.034529000000003?authuser=0&entry=ttu
Reviews: 2 reviews

Name: Kamiloglu Oztok Hukuk Danismanlik
link: https://www.google.com/maps/search/Kamilo%C4%9Flu+%C3%96ztok+Hukuk+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0204955,29.0345907?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Kocabas&Yavuzer Hukuk Burosu
link: https://www.google.com/maps/search/Kocaba%C5%9F%26Yavuzer+Hukuk+B%C3%BCrosu/@41.023430399999995,29.0363537?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Kbc Avukatlik Danismanlik
link: https://www.google.com/maps/search/Kb%C3%A7+Avukatl%C4%B1k+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.024406,29.038465?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Ozbey Hukuk ve Danismanlik
link: https://www.google.com/maps/search/%C3%96zbey+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.014291,29.054921699999998?authuser=0&entry=ttu
Reviews: 0 reviews",https://www.kocdemirozbekhukuk.com/,Kocdemir Ozbek Hukuk ve Danismanlik (Sahibi),https://www.google.com/maps/contrib/103021951789476095635,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GDo8EkBKMzoB1ip5wqC5hw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=351.0989&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,5.0,08:00-18:00,"Cumartesi, Pazar",0530 430 12 67,"Sultantepe, Kocdemir Ozbek Hukuk ve Danismanlik, Selmani Pak Cd. Murat Apt D:49/5, 34674 Uskudar/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJr6xOcGu3yhQRApYCsS1r2eg,1.0,kocdemirozbekhukukdanismanlik@gmail.com,kocdemirozbekhukuk.com,,,0,gmail.com,False,Selmani̇ Pak Caddesi,Selmani̇ Pak Caddesi
ChIJhzTqOxu3yhQR1QXCIISanmU,Atamer Avukatlik Burosu,,0,50.0,"Name: AAT Hukuk
link: https://www.google.com/maps/search/AAT+Hukuk/@41.067799799999996,28.992574299999998?authuser=0&entry=ttu
Reviews: 11 reviews

Name: Anzan Immigration Lawyers
link: https://www.google.com/maps/search/Anzan+Immigration+Lawyers/@41.0681246,28.9921761?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Citil Avukatlik Ortakligi I Citil Attorney Partnership
link: https://www.google.com/maps/search/%C3%87itil+Avukatl%C4%B1k+Ortakl%C4%B1%C4%9F%C4%B1+I+Citil+Attorney+Partnership/@41.0676525,28.9926863?authuser=0&entry=ttu
Reviews: 152 reviews

Name: Ertug & Partners Law Firm
link: https://www.google.com/maps/search/Ertu%C4%9F+%26+Partners+Law+Firm/@41.052541,28.990274099999997?authuser=0&entry=ttu
Reviews: 5 reviews

Name: Butuner Hukuk Burosu
link: https://www.google.com/maps/search/B%C3%BCt%C3%BCner+Hukuk+B%C3%BCrosu/@41.067814999999996,28.9858858?authuser=0&entry=ttu
Reviews: 7 reviews",https://www.atamer.av.tr/,Atamer Avukatlik Burosu (Sahibi),https://www.google.com/maps/contrib/100496928908143078526,https://lh5.googleusercontent.com/p/AF1QipMQ--qDwpWyb4pohz3SD5zYqd92pFJ1PG_tFNgr=w408-h514-k-no,Avukat,"Avukat, Ceza Avukati, Bosanma Avukati, Aile Hukuku Avukati, Gocmenlik Hukuku Avukati, Hukuk Burosu, Hukuki Isler Burosu, Gayrimenkul Hukuku Avukati, Dava Avukati",4.1,09:00-18:00,Pazar,(0212) 706 11 11,"Kustepe, Atamer Avukatlik Burosu, Trump Towers Residence No:2606, 34381 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJhzTqOxu3yhQR1QXCIISanmU,1.0,info@atamer.av.tr,atamer.av.tr,,,0,atamer.av.tr,True,Trump Towers Rezidansi,Trump Towers Rezidansi
ChIJHyWxTDe3yhQR1RRQUq_8CBc,TUNC * FIRAT | DERELI,,0,3.0,"Name: Firat Hukuk Burosu
link: https://www.google.com/maps/search/F%C4%B1rat+Hukuk+B%C3%BCrosu/@41.062078,28.987711399999995?authuser=0&entry=ttu
Reviews: 1 reviews

Name: TANRIKULU & TUNC-HUKUK BUROSU
link: https://www.google.com/maps/search/TANRIKULU+%26+TUN%C3%87-HUKUK+B%C3%9CROSU/@41.071464399999996,29.014288599999997?authuser=0&entry=ttu
Reviews: 6 reviews

Name: Donmez Hukuk
link: https://www.google.com/maps/search/D%C3%B6nmez+Hukuk/@41.068149999999996,29.009181?authuser=0&entry=ttu
Reviews: 3 reviews

Name: Litai Hukuk Burosu
link: https://www.google.com/maps/search/Litai+Hukuk+B%C3%BCrosu/@41.067493,29.004025000000002?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Firat Soyle
link: https://www.google.com/maps/search/F%C4%B1rat+S%C3%B6yle/@41.066285099999995,28.996914799999995?authuser=0&entry=ttu
Reviews: 14 reviews",http://www.tuncfiratdereli.com/,TUNC * FIRAT | DERELI (Sahibi),https://www.google.com/maps/contrib/103793362579847188692,https://lh5.googleusercontent.com/p/AF1QipPIf9TaIdylzF9eABXdNk_SVqdhAV88MUB9kKSy=w408-h544-k-no,Hukuk Burosu,Hukuk Burosu,3.7,09:00-17:30,"Cumartesi, Pazar",(0212) 211 02 00,"Levent, TUNC * FIRAT | DERELI, Eski Buyukdere Cd. No:199, 34330 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJHyWxTDe3yhQR1RRQUq_8CBc,1.0,info@tuncfiratdereli.com,tuncfiratdereli.com,,,0,tuncfiratdereli.com,True,Eski̇ Buyukdere Caddesi,Eski̇ Buyukdere Caddesi
ChIJmUwR1PfFyhQR07pFHvEkpaA,"CKT LEGAL (Colak, Kapicioglu & Tabak Hukuk ve Danismanlik))",,0,11.0,"Name: Avukat Salih Goktug Colak - Kadikoy Avukat, Kadikoy Ceza ve Agir Ceza Avukati ve Kadikoy Bosanma Avukati
link: https://www.google.com/maps/search/Avukat+Salih+G%C3%B6ktu%C4%9F+%C3%87olak+-+Kad%C4%B1k%C3%B6y+Avukat%2C+Kad%C4%B1k%C3%B6y+Ceza+ve+A%C4%9F%C4%B1r+Ceza+Avukat%C4%B1+ve+Kad%C4%B1k%C3%B6y+Bo%C5%9Fanma+Avukat%C4%B1/@40.9747701,29.046785099999994?authuser=0&entry=ttu
Reviews: 9 reviews

Name: Karakoc Hukuk ve Danismanlik
link: https://www.google.com/maps/search/Karako%C3%A7+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.916789099999995,29.196966999999994?authuser=0&entry=ttu
Reviews: 3 reviews

Name: C C Hukuk Burosu
link: https://www.google.com/maps/search/%C3%87+%C3%87+Hukuk+B%C3%BCrosu/@40.919461500000004,29.1787893?authuser=0&entry=ttu
Reviews: 0 reviews

Name: RKC
link: https://www.google.com/maps/search/RKC/@40.9194862,29.1788065?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Avukat Caglar Celikten Hukuk Burosu
link: https://www.google.com/maps/search/Avukat+%C3%87a%C4%9Flar+%C3%87elikten+Hukuk+B%C3%BCrosu/@40.9192566,29.1785462?authuser=0&entry=ttu
Reviews: 0 reviews",https://www.cktlegal.com/,"CKT LEGAL (Colak, Kapicioglu & Tabak Hukuk ve Danismanlik)) (Sahibi)",https://www.google.com/maps/contrib/114763658276813385760,https://lh5.googleusercontent.com/p/AF1QipNzSlFRv-dVe6PQkVHDuXkPSeFDvlgb34u7xQTr=w425-h240-k-no,Hukuk Burosu,"Hukuk Burosu, Ceza Avukati, Bosanma Avukati, Gocmenlik Hukuku Avukati, Is Hukuku Avukati, Saglik Avukati",4.3,09:00-18:00,Pazar,0552 151 09 08,"CKT LEGAL (Colak, Kapicioglu & Tabak Hukuk ve Danismanlik)), Soganlik Yeni Mah AC Momet Plaza Baltaci Mehmet Pasa Sokak No:4 AC Yapi B Blok Kat:11 D:100, 34880 Kartal/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJmUwR1PfFyhQR07pFHvEkpaA,1.0,colak@cktavukatlik.com,cktlegal.com,,,0,cktavukatlik.com,False,,
ChIJhbvUdE7HyhQRJMJlRTfm3DU,BASOGLU HUKUK - Av. Yigit BASOGLU,,0,4.0,"Name: NIZAMOGLU Avukatlik Burosu
link: https://www.google.com/maps/search/N%C4%B0ZAMO%C4%9ELU+Avukatl%C4%B1k+B%C3%BCrosu/@41.00084,29.055170000000004?authuser=0&entry=ttu
Reviews: 23 reviews

Name: Mahmutoglu Hukuk Burosu
link: https://www.google.com/maps/search/Mahmuto%C4%9Flu+Hukuk+B%C3%BCrosu/@41.0041176,29.0540608?authuser=0&entry=ttu
Reviews: 0 reviews

Name: ZIROGLU AVUKATLIK BUROSU
link: https://www.google.com/maps/search/Z%C4%B0RO%C4%9ELU+AVUKATLIK+B%C3%9CROSU/@41.0032001,29.0538396?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Senel Hukuk ve Danismanlik
link: https://www.google.com/maps/search/%C5%9Eenel+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.001979999999996,29.055084200000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Serpil Cinar - (Cekismeli/Anlasmali) Kadikoy Istanbul
link: https://www.google.com/maps/search/Avukat+Serpil+%C3%87%C4%B1nar+-+%28%C3%87eki%C5%9Fmeli%2FAnla%C5%9Fmal%C4%B1%29+Kad%C4%B1k%C3%B6y+%C4%B0stanbul/@41.0008252,29.0553886?authuser=0&entry=ttu
Reviews: 79 reviews",http://basoglu.av.tr/,BASOGLU HUKUK - Av. Yigit BASOGLU (Sahibi),https://www.google.com/maps/contrib/117261559224697176290,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_8n_uxvrH8TGeJWc0Ntr9A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=73.6574&pitch=0&thumbfov=100,Hukuk Burosu,"Hukuk Burosu, Avukatlik Danisma Hizmeti, Ceza Avukati, Bosanma Avukati, Is Hukuku Avukati, Icra Hizmetleri, Sigorta Hukuku Avukati, Avukat, Hukuk Hizmetleri, Gayrimenkul Hukuku Avukati",5.0,09:00-18:00,"Cumartesi, Pazar",(0216) 472 22 21,"BASOGLU HUKUK - Av. Yigit BASOGLU, Acibadem Mah. Cecen Sok. Akasya Kent Kule A1 Blok No:25 K:26 D:150, 34660 Uskudar/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJhbvUdE7HyhQRJMJlRTfm3DU,1.0,bilgi@basoglu.av.tr,basoglu.av.tr,,,0,basoglu.av.tr,True,Basoglu Hukuk,Basoglu Hukuk
ChIJSVAZrfi2yhQRaARE-mUAHIg,CIFTCI Law Firm,,0,,"Name: Ciftci Avukatlik Ortakligi
link: https://www.google.com/maps/search/%C3%87ift%C3%A7i+Avukatl%C4%B1k+Ortakl%C4%B1%C4%9F%C4%B1/@41.0780473,29.0105306?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Ciftci Law Office
link: https://www.google.com/maps/search/%C3%87ift%C3%A7i+Law+Office/@41.0712718,29.0109135?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Yegin Ciftci
link: https://www.google.com/maps/search/Yegin+Ciftci/@41.061413200000004,28.9884953?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Ciftci & Yilmaz Hukuk ve Danismanlik
link: https://www.google.com/maps/search/%C3%87ift%C3%A7i+%26+Y%C4%B1lmaz+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.065850499999996,29.003591600000004?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Dogan Karakus / Hukuk
link: https://www.google.com/maps/search/Do%C4%9Fan+Karaku%C5%9F+%2F+Hukuk/@41.0660129,29.008393499999997?authuser=0&entry=ttu
Reviews: 1 reviews",https://www.ciftcilaw.com.tr/en/location.html,CIFTCI Law Firm (Sahibi),,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QMyAcP5JG15p7kkRKMOwmg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=28.30516&pitch=0&thumbfov=100,Avukat,Avukat,,,Open All Days,(0212) 339 00 02,"Esentepe, CIFTCI Law Firm, Buyukdere Cd. No:10, 34394 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJSVAZrfi2yhQRaARE-mUAHIg,1.0,info@ciftcilaw.com.tr,ciftcilaw.com.tr,,,0,ciftcilaw.com.tr,True,Buyukdere Caddesi,Buyukdere Caddesi
ChIJj5Bm2Qe3yhQRqOZkUPY1bns,Bagzibagli Erdem & Sahin Law Firm,,0,8.0,"Name: Siya Hukuk
link: https://www.google.com/maps/search/Siya+Hukuk/@41.049423,28.998790000000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Sahin Hukuk ve Danismanlik
link: https://www.google.com/maps/search/%C5%9Eahin+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0238654,29.022180199999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Lutfiye Ozcelik Mutlu
link: https://www.google.com/maps/search/L%C3%BCtfiye+%C3%96z%C3%A7elik+Mutlu/@41.042480399999995,29.0012773?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Karabayraktar Law Firm & IP Consultancy
link: https://www.google.com/maps/search/Karabayraktar+Law+Firm+%26+IP+Consultancy/@41.049478099999995,29.0063812?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.be-legal.co/,Bagzibagli Erdem & Sahin Law Firm (Sahibi),https://www.google.com/maps/contrib/113341366093635542595,https://lh5.googleusercontent.com/p/AF1QipNj5d7Bc93nPHOTqr-wO55gnTNHMqw2aT-gkxxj=w425-h240-k-no,Hukuk Burosu,Hukuk Burosu,5.0,09:00-18:30,"Cumartesi, Pazar",(0212) 236 64 78,"Visnezade, Bagzibagli Erdem & Sahin Law Firm, Suleyman Seba Cd. No. 74/5, 34357 Besiktas/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJj5Bm2Qe3yhQRqOZkUPY1bns,1.0,info@be-legal.co,be-legal.co,,,0,be-legal.co,True,Suleyman Seba Caddesi,Suleyman Seba Caddesi
ChIJAQAAQHO3yhQR5BzBUJgyHG4,Dafne Hukuk & Danismanlik,,0,2.0,"Name: Mad Hukuk | Management Adviser Law Firm
link: https://www.google.com/maps/search/Mad+Hukuk+%7C+Management+Adviser+Law+Firm/@41.048691,28.992462399999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Nazife Dize
link: https://www.google.com/maps/search/Avukat+Nazife+Dize/@41.05046,28.987350000000003?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Menet Hukuk & Danismanlik
link: https://www.google.com/maps/search/Menet+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0457494,28.9863194?authuser=0&entry=ttu
Reviews: 1 reviews

Name: ODABAS Law Firm
link: https://www.google.com/maps/search/ODABA%C5%9E+Law+Firm/@41.051519,28.997726?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Nisantasi Hukuk & Danismanlik
link: https://www.google.com/maps/search/Ni%C5%9Fanta%C5%9F%C4%B1+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.058040899999995,28.987922899999997?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.dafnehukuk.com/,Dafne Hukuk & Danismanlik (Sahibi),https://www.google.com/maps/contrib/118166498088324916859,https://lh5.googleusercontent.com/p/AF1QipO49V_4aRXt7H_ylNlmV9qJcqRAlyAQOhuvdHDm=w408-h544-k-no,Hukuk Burosu,Hukuk Burosu,5.0,09:00-18:00,Pazar,0533 168 42 52,"Harbiye, Dafne Hukuk & Danismanlik, Kent Apt, Ergenekon Mah, Cumhuriyet Cd. No:137 D:2, 34373 Sisli/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQHO3yhQR5BzBUJgyHG4,1.0,sibel@sibelbickici.av.tr,dafnehukuk.com,,,0,sibelbickici.av.tr,False,Cumhuri̇yet Caddesi,Cumhuri̇yet Caddesi
