place_id,name,description,is_spending_on_ads,reviews,competitors,website,owner_name,owner_profile_link,featured_image,main_category,categories,rating,workday_timing,closed_on,phone,address,review_keywords,link,added_status_m,email,domain,error,last_scanned,recheck_status,email_domain,email_domain_match,loca,revised_loca
ChIJnTAeKzm6yhQRgZSnPA1NRI0,Sah Hukuk Burosu,,0,18.0,"Name: Fatih Hukuk Burosu
link: https://www.google.com/maps/search/Fatih+Hukuk+B%C3%BCrosu/@41.0174508,28.929671199999998?authuser=0&entry=ttu
Reviews: 7 reviews

Name: Sahin Hukuk Burosu Av.Ozgur Sahin
link: https://www.google.com/maps/search/%C5%9Eahin+Hukuk+B%C3%BCrosu+Av.%C3%96zg%C3%BCr+%C5%9Eahin/@40.995040599999996,28.878247599999998?authuser=0&entry=ttu
Reviews: 1 reviews

Name: Ensar Hukuk Burosu
link: https://www.google.com/maps/search/Ensar+Hukuk+B%C3%BCrosu/@41.016273299999995,28.9435343?authuser=0&entry=ttu
Reviews: 3 reviews

Name: Selcuk Sahin Hukuk Burosu
link: https://www.google.com/maps/search/Sel%C3%A7uk+%C5%9Eahin+Hukuk+B%C3%BCrosu/@40.991899599999996,28.8342029?authuser=0&entry=ttu
Reviews: 21 reviews

Name: Av. Hamza SAHIN / Sahin Hukuk Burosu
link: https://www.google.com/maps/search/Av.+Hamza+%C5%9EAH%C4%B0N+%2F+%C5%9Eahin+Hukuk+B%C3%BCrosu/@41.0740944,28.976863599999998?authuser=0&entry=ttu
Reviews: 6 reviews",http://www.sahhukuk.com/,Sah Hukuk Burosu (Sahibi),https://www.google.com/maps/contrib/101363645910425734362,https://lh5.googleusercontent.com/p/AF1QipNOsT54pbX4rIwT2PemlLro3VlOWH-aYScj2jn6=w427-h240-k-no,Avukat,"Avukat, Hukuk Burosu",4.6,09:00-19:00,"Cumartesi, Pazar",(0212) 518 80 15,"Topkapi, Sah Hukuk Burosu, Bican Bagcioglu Yks. No:9, 34093 Fatih/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJnTAeKzm6yhQRgZSnPA1NRI0,0.0,bilgi@sahhukuk.com,sahhukuk.com,,,0,sahhukuk.com,True,"Topkapi, Sah","Topkapi, Sah"
ChIJp0rgJTu3yhQRUYzpLNRYY5s,KURAL HUKUK BUROSU / LAW OFFICE,,0,9.0,"Name: Ozalp Law Firm
link: https://www.google.com/maps/search/%C3%96zalp+Law+Firm/@41.0503876,29.0069795?authuser=0&entry=ttu
Reviews: 6 reviews

Name: DKND Law Firm / DKND Hukuk Burosu
link: https://www.google.com/maps/search/DKND+Law+Firm+%2F+DKND+Hukuk+Burosu/@41.064851,29.009177399999995?authuser=0&entry=ttu
Reviews: 0 reviews

Name: AKSU HUKUK
link: https://www.google.com/maps/search/AKSU+HUKUK/@41.0426089,29.008659599999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Bjk Hukuk Burosu
link: https://www.google.com/maps/search/Bjk+Hukuk+B%C3%BCrosu/@41.044505099999995,29.007645900000004?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Kiziltug Dalyan Hukuk Burosu
link: https://www.google.com/maps/search/K%C4%B1z%C4%B1ltu%C4%9F+Dalyan+Hukuk+B%C3%BCrosu/@41.066443899999996,29.004037?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.avukatipekoyakural.com/,KURAL HUKUK BUROSU / LAW OFFICE (Sahibi),https://www.google.com/maps/contrib/118032995291726744402,https://lh5.googleusercontent.com/p/AF1QipPmBBawEyfklGwqZN97Hs0aKmdVha3-LmXvjGI=w408-h408-k-no,Hukuk Burosu,Hukuk Burosu,5.0,08:00-19:30,Pazar,0850 304 0212,"Yildiz, KURAL HUKUK BUROSU / LAW OFFICE, Fuat Kirsan Apartmani, Ciragan Cd. No:43 Kat :2, 34349 Besiktas/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJp0rgJTu3yhQRUYzpLNRYY5s,1.0,muhasebe@avukatipekoyakural.com,avukatipekoyakural.com,,,0,avukatipekoyakural.com,True,Ci̇ragan Caddesi,Ci̇ragan Caddesi
ChIJOyWCKPTHyhQRgblxFL42Onk,OZALP Hukuk Burosu,,0,,,https://ozalphukuk.com/,OZALP Hukuk Burosu (Sahibi),https://www.google.com/maps/contrib/106273421949574392942,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PUJeUcqJtsWgLGLyRbMzbA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=186.26416&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,,09:00-18:00,Open All Days,(0216) 441 00 21,"Suadiye, OZALP Hukuk Burosu, Bagdat Cad. Ay Apt B Blok No:372 D:23 Kat:4, 34740 Kadikoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJOyWCKPTHyhQRgblxFL42Onk,1.0,info@ozalphukuk.com,ozalphukuk.com,,,0,ozalphukuk.com,True,Bagdat Caddesi,Bagdat Caddesi
ChIJbZMw-G_HyhQRIBD3BELG_Fw,M&S Law Istanbul,,FALSE,7.0,,https://mslawistanbul.de/,,,,Hukuk Burosu,,4.4,,,(0216) 999 88 48,"Kozyatagi, M&S Law Istanbul, PS Plaza, Gulbahar Sk. No:17/42, 34742 Kadikoy/Istanbul",,https://www.google.com/maps/place/M%26S+Law+Istanbul/data=!4m7!3m6!1s0x14cac76ff830936d:0x5cfcc64204f71020!8m2!3d40.971903!4d29.099912!16s%2Fg%2F11rr4wb5zs!19sChIJbZMw-G_HyhQRIBD3BELG_Fw?authuser=0&hl=tr&rclk=1,,o.moustafa@istanbul.av.tr,mslawistanbul.de,,,0,istanbul.av.tr,False,Gulbahar Sokagi,Gulbahar Sokagi
ChIJnbkQdze6yhQRUeOOibRHxhs,Avukat Onur SARAL- Isci Avukati- Istanbul Is Hukuku Avukati- Bosanma Avukati- Agir Ceza Avukati,,0,10.0,"Name: SARAL Hukuk Burosu
link: https://www.google.com/maps/search/SARAL+Hukuk+B%C3%BCrosu/@41.0771346,29.0204366?authuser=0&entry=ttu
Reviews: 11 reviews

Name: Onursal Hukuk Burosu
link: https://www.google.com/maps/search/Onursal+Hukuk+B%C3%BCrosu/@41.0577907,28.9705233?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Onuray Hukuk & Danismanlik
link: https://www.google.com/maps/search/Onuray+Hukuk+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k/@41.0587497,28.986060199999997?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Kiran Hukuk Burosu
link: https://www.google.com/maps/search/K%C4%B1ran+Hukuk+B%C3%BCrosu/@41.0677655,28.9860661?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Altunyurt Hukuk Burosu
link: https://www.google.com/maps/search/Altunyurt+Hukuk+B%C3%BCrosu/@41.0654045,28.9987863?authuser=0&entry=ttu
Reviews: 0 reviews",http://www.esyhukuk.com/,Avukat Onur SARAL- Isci Avukati- Istanbul Is Hukuku Avukati- Bosanma Avukati- Agir Ceza Avukati (Sahibi),https://www.google.com/maps/contrib/116534928656245782094,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EjDcubbKDvI8ZWJPcH5cVA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=337.9383&pitch=0&thumbfov=100,Hukuk Burosu,"Hukuk Burosu, Avukatlik Danisma Hizmeti, Ceza Avukati, Bosanma Avukati, Is Hukuku Avukati, Avukat, Ferdi Kaza Avukati, Dava Avukati",5.0,09:30-19:00,Pazar,0532 480 37 17,"Caglayan, Avukat Onur SARAL- Isci Avukati- Istanbul Is Hukuku Avukati- Bosanma Avukati- Agir Ceza Avukati, Reson Residence, Tasocagi Cd. No:97 Kat:7 D:29, 34403 Kagithane/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJnbkQdze6yhQRUeOOibRHxhs,1.0,osaral@esyhukuk.com,esyhukuk.com,,,0,esyhukuk.com,True,Tasocagi̇ Caddesi,Tasocagi̇ Caddesi
ChIJQye8VAnHyhQR_lT0JzNUcQI,ETYO Hukuk & Danismanlik - Uskudar Avukat Burosu,,0,14.0,"Name: Emiroglu Hukuk ve Danismanlik
link: https://www.google.com/maps/search/Emiro%C4%9Flu+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9937877,29.059541799999998?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Ertas Hukuk&Danismanlik
link: https://www.google.com/maps/search/Erta%C5%9F+Hukuk%26Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.9907548,29.0599742?authuser=0&entry=ttu
Reviews: 0 reviews

Name: Avukat Yalcin Oke
link: https://www.google.com/maps/search/Avukat+Yal%C3%A7%C4%B1n+%C3%96ke/@40.992544599999995,29.030143999999996?authuser=0&entry=ttu
Reviews: 1 reviews

Name: ETY HUKUK & DANISMANLIK - Av. Eda Tasmaci Yurtlu
link: https://www.google.com/maps/search/ETY+HUKUK+%26+DANI%C5%9EMANLIK+-+Av.+Eda+Tasmac%C4%B1+Yurtlu/@40.8802205,29.2261799?authuser=0&entry=ttu
Reviews: 22 reviews

Name: Oke Hukuk Musavirligi ve Avukatlik Burosu
link: https://www.google.com/maps/search/%C3%96ke+Hukuk+M%C3%BC%C5%9Favirli%C4%9Fi+ve+Avukatl%C4%B1k+B%C3%BCrosu/@40.9925218,29.030125499999993?authuser=0&entry=ttu
Reviews: 3 reviews",https://www.etyohukuk.com/,ETYO Hukuk & Danismanlik - Uskudar Avukat Burosu (Sahibi),https://www.google.com/maps/contrib/111753392547125106761,https://lh5.googleusercontent.com/p/AF1QipPKRIQPPhwOIXjruzbYhI-GB6wupgzuiw_H5Ynu=w408-h544-k-no,Hukuk Burosu,Hukuk Burosu,5.0,09:00-18:30,"Cumartesi, Pazar",,"Bulgurlu, ETYO Hukuk & Danismanlik - Uskudar Avukat Burosu, Alemdag Cd Tokgozler Is Merkezi No:110 K:3 D:31, 34696 Uskudar/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJQye8VAnHyhQR_lT0JzNUcQI,1.0,av.ogulcanpehlivan@gmail.com,etyohukuk.com,,,0,gmail.com,False,Alemdag Caddesi,Alemdag Caddesi
ChIJbQZEENTHyhQROnm5qLI3Fc0,NKCLegal - Narinc I Karabey I Colakoglu Avukatlik Burosu,,0,1.0,"Name: ONCU&KESKIN HUKUK BUROSU
link: https://www.google.com/maps/search/%C3%96NC%C3%9C%26KESK%C4%B0N+HUKUK+B%C3%9CROSU/@40.9911789,29.116860799999998?authuser=0&entry=ttu
Reviews: 7 reviews

Name: Nova Hukuk ve Danismanlik
link: https://www.google.com/maps/search/Nova+Hukuk+ve+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.977168,29.107373000000003?authuser=0&entry=ttu
Reviews: 5 reviews

Name: KESKIN&SENSOY HUKUK BUROSU
link: https://www.google.com/maps/search/KESK%C4%B0N%26%C5%9EENSOY+HUKUK+B%C3%9CROSU/@40.9920955,29.120775799999997?authuser=0&entry=ttu
Reviews: 1 reviews

Name: TAVKAN HUKUK & DANISMANLIK
link: https://www.google.com/maps/search/TAVKAN+HUKUK+%26+DANI%C5%9EMANLIK/@40.9831503,29.1333667?authuser=0&entry=ttu
Reviews: 19 reviews

Name: DNK Hukuk Burosu
link: https://www.google.com/maps/search/DNK+Hukuk+B%C3%BCrosu/@41.000254399999996,29.1008991?authuser=0&entry=ttu
Reviews: 4 reviews",http://www.nkclegal.com/,NKCLegal - Narinc I Karabey I Colakoglu Avukatlik Burosu (Sahibi),https://www.google.com/maps/contrib/103303832082350042210,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TU6oJzW8XrxsU1iV_EY6Hg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=249.49559&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,5.0,09:00-18:00,"Cumartesi, Pazar",(0216) 807 03 39,"NKCLegal - Narinc I Karabey I Colakoglu Avukatlik Burosu, Ataturk Mah. Vedat Gunyol Cad. No:44 Yakut 14, D:11, 34758 Atasehir",,https://www.google.com/maps/place/?q=place_id:ChIJbQZEENTHyhQROnm5qLI3Fc0,1.0,nkarabey@nkclegal.com,nkclegal.com,,,0,nkclegal.com,True,Vedat Gunyol Caddesi,Vedat Gunyol Caddesi
ChIJAZZ2txHFyhQRtS37tp8LC1s,Congar Hukuk Burosu | Istanbul,,FALSE,9.0,,http://congarhukuk.com/,,,,Hukuk Burosu,,2.6,,,0545 642 36 82,"Yesilbaglar, Congar Hukuk Burosu | Istanbul, Yesilbaglar, Yesilbaglar Mahallesi. D100 Bulvari. Kaptan Sokak HeliX Metrofis Rezidans No:19 Kat:6 D:18-19, Kaptan Sk. No:2, 34893 Pendik/Istanbul",,https://www.google.com/maps/place/Congar+Hukuk+B%C3%BCrosu+%7C+%C4%B0stanbul/data=!4m7!3m6!1s0x14cac511b7769601:0x5b0b0b9fb6fb2db5!8m2!3d40.8946528!4d29.2276771!16s%2Fg%2F11h2mhx2b6!19sChIJAZZ2txHFyhQRtS37tp8LC1s?authuser=0&hl=tr&rclk=1,,dava@congarhukuk.com,congarhukuk.com,,,0,congarhukuk.com,True,Kaptan Sokagi,Kaptan Sokagi
ChIJuXXZNxu3yhQRZsakJ8N_WNE,Karatas & Sevgili Hukuk Burosu,,FALSE,6.0,,http://www.karatassevgili.com/,,,,Avukat,,4.3,,,(0212) 268 81 10,"Nisbetiye, Karatas & Sevgili Hukuk Burosu, Birlik Sk. No:3 D:15, 34410 Besiktas/Istanbul",,https://www.google.com/maps/place/Karata%C5%9F+%26+Sevgili+Hukuk+B%C3%BCrosu/data=!4m7!3m6!1s0x14cab71b37d975b9:0xd1587fc327a4c666!8m2!3d41.0741793!4d29.018027!16s%2Fg%2F11flzqdd17!19sChIJuXXZNxu3yhQRZsakJ8N_WNE?authuser=0&hl=tr&rclk=1,,bilgi@karatassevgili.com,karatassevgili.com,,,0,karatassevgili.com,True,Bi̇rli̇k Sokagi,Bi̇rli̇k Sokagi
ChIJMdQkCZ26yhQRc6vzrmDpq5s,Cokay Hukuk & Danismanlik,,0,16.0,"Name: Aydin Avukatlik & Danismanlik Burosu
link: https://www.google.com/maps/search/Ayd%C4%B1n+Avukatl%C4%B1k+%26+Dan%C4%B1%C5%9Fmanl%C4%B1k+B%C3%BCrosu/@40.970402,29.062256?authuser=0&entry=ttu
Reviews: 11 reviews

Name: Agk&Agkoc Hukuk Burosu
link: https://www.google.com/maps/search/Agk%26A%C4%9Fko%C3%A7+Hukuk+B%C3%BCrosu/@40.9652464,29.071028400000003?authuser=0&entry=ttu
Reviews: 25 reviews

Name: Akran Hukuk Burosu
link: https://www.google.com/maps/search/Akran+Hukuk+B%C3%BCrosu/@40.9758935,29.051407299999997?authuser=0&entry=ttu
Reviews: 4 reviews

Name: Ozarslan Hukuk Danismanlik
link: https://www.google.com/maps/search/%C3%96zarslan+Hukuk+Dan%C4%B1%C5%9Fmanl%C4%B1k/@40.986035,29.039133?authuser=0&entry=ttu
Reviews: 4 reviews

Name: Ozay Hukuk Burosu
link: https://www.google.com/maps/search/%C3%96zay+Hukuk+B%C3%BCrosu/@40.9760949,29.067558299999998?authuser=0&entry=ttu
Reviews: 33 reviews",http://www.cokayhukuk.com/,Cokay Hukuk & Danismanlik (Sahibi),https://www.google.com/maps/contrib/107680636173843276161,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ixVOH_h_syFQrHxuEKAciQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=309.14624&pitch=0&thumbfov=100,Hukuk Burosu,Hukuk Burosu,4.9,08:00-18:00,Pazar,(0216) 359 03 59,"Cokay Hukuk & Danismanlik, Goztepe Mah. Bagdat Cad. No: 163 Kuzey Apt Daire: 10, 34730 Kadikoy/Istanbul",,https://www.google.com/maps/place/?q=place_id:ChIJMdQkCZ26yhQRc6vzrmDpq5s,1.0,info@cokayhukuk.com,cokayhukuk.com,,,0,cokayhukuk.com,True,Bagdat Caddesi,Bagdat Caddesi
