name,reviews,competitors,website,owner_name,rating,link,domain
Adult Love Boutique,194,,https://www.adultloveboutiquesm.com/%3Futm_source%3Dgoogle%26utm_medium%3Dgmb%26utm_campaign%3Dseo,Adult Love Boutique (Sahibi),4.9,https://www.google.com/maps/place/Adult+Love+Boutique/data=!4m7!3m6!1s0x80c2bb34ca12e631:0x5f9b372faee855e3!8m2!3d34.0238536!4d-118.4861956!16s%2Fg%2F1td4876h!19sChIJMeYSyjS7woAR41Xori83m18?authuser=0&hl=tr&rclk=1,
Lovers,192,"Name: Bras n Things Culver City
link: https://www.google.com/maps/search/Bras+n+Things+Culver+City/@33.9862323,-118.3922257?authuser=0&hl=tr&entry=ttu
Reviews: 3 reviews

Name: Amor Lingerie Sex Shop
link: https://www.google.com/maps/search/Amor+Lingerie+Sex+Shop/@34.042302,-118.30834200000001?authuser=0&hl=tr&entry=ttu
Reviews: 51 reviews

Name: Adult Love Boutique
link: https://www.google.com/maps/search/Adult+Love+Boutique/@34.023853599999995,-118.48619559999999?authuser=0&hl=tr&entry=ttu
Reviews: 192 reviews

Name: Cupid's Closet LAX Adult Store & Sex Shop
link: https://www.google.com/maps/search/Cupid%27s+Closet+LAX+Adult+Store+%26+Sex+Shop/@33.9618484,-118.4206687?authuser=0&hl=tr&entry=ttu
Reviews: 91 reviews

Name: Victoria's Secret
link: https://www.google.com/maps/search/Victoria%27s+Secret/@33.985886,-118.392872?authuser=0&hl=tr&entry=ttu
Reviews: 792 reviews",https://locations.loversstores.com/ca/culver-city/5901-s-sepulveda-blvd/,Lovers (Sahibi),4.7,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80c2b0ad1a1ebe51:0x1c53070cb3fc60fd!8m2!3d33.98644!4d-118.396035!16s%2Fg%2F1vr1wx40!19sChIJUb4eGq2wwoAR_WD8swwHUxw?authuser=0&hl=tr&rclk=1,
Stan's Adult Store,191,,http://romanceattack.biz/,Stan's Adult Store (Sahibi),4.5,https://www.google.com/maps/place/Stan%27s+Adult+Store/data=!4m7!3m6!1s0x80c32a55bb183bbf:0x6cc1912a9691c9c4!8m2!3d33.9949272!4d-117.8818987!16s%2Fg%2F1td6yczt!19sChIJvzsYu1Uqw4ARxMmRliqRwWw?authuser=0&hl=tr&rclk=1,
Broadway Erotic Store,170,,http://broadwayerotic.com/,Broadway Erotic Store (Sahibi),5,https://www.google.com/maps/place/Broadway+Erotic+Store/data=!4m7!3m6!1s0x80c2c79f77ed65e1:0x48c2b14b15294d42!8m2!3d34.0476737!4d-118.2516002!16s%2Fg%2F11hpdvzjh9!19sChIJ4WXtd5_HwoARQk0pFUuxwkg?authuser=0&hl=tr&rclk=1,
Lovers,167,"Name: Bras N Things Los Cerritos
link: https://www.google.com/maps/search/Bras+N+Things+Los+Cerritos/@33.8620386,-118.09345569999999?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Love Stuff Adult Superstore
link: https://www.google.com/maps/search/Love+Stuff+Adult+Superstore/@33.7604257,-118.1356349?authuser=0&hl=tr&entry=ttu
Reviews: 13 reviews

Name: Intimissimi
link: https://www.google.com/maps/search/Intimissimi/@33.8629026,-118.0948085?authuser=0&hl=tr&entry=ttu
Reviews: 9 reviews

Name: Romantix
link: https://www.google.com/maps/search/Romantix/@33.76751960000001,-118.1712136?authuser=0&hl=tr&entry=ttu
Reviews: 34 reviews

Name: Purple Onion Exotic Lingerie
link: https://www.google.com/maps/search/Purple+Onion+Exotic+Lingerie/@33.8325671,-118.09826899999999?authuser=0&hl=tr&entry=ttu
Reviews: 36 reviews",https://locations.loversstores.com/ca/cerritos/11332-south-st/,Lovers (Sahibi),4.5,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80dd2d9e1af18ee3:0xec32ea2124f98c9c!8m2!3d33.8570236!4d-118.0923391!16s%2Fg%2F1tfv5fd9!19sChIJ447xGp4t3YARnIz5JCHqMuw?authuser=0&hl=tr&rclk=1,
Lovers,152,"Name: Honey Birdette
link: https://www.google.com/maps/search/Honey+Birdette/@33.9153422,-117.88645090000001?authuser=0&hl=tr&entry=ttu
Reviews: 4 reviews

Name: Romance Boutique Secrets
link: https://www.google.com/maps/search/Romance+Boutique+Secrets/@34.0674711,-117.69048649999999?authuser=0&hl=tr&entry=ttu
Reviews: 147 reviews

Name: Victoria's Secret & PINK by Victoria's Secret
link: https://www.google.com/maps/search/Victoria%27s+Secret+%26+PINK+by+Victoria%27s+Secret/@33.9155363,-117.88573419999999?authuser=0&hl=tr&entry=ttu
Reviews: 382 reviews

Name: The Love Store
link: https://www.google.com/maps/search/The+Love+Store/@33.713280399999995,-117.88576420000001?authuser=0&hl=tr&entry=ttu
Reviews: 15 reviews

Name: SOMA
link: https://www.google.com/maps/search/SOMA/@33.9159937,-117.88748090000001?authuser=0&hl=tr&entry=ttu
Reviews: 7 reviews",https://locations.loversstores.com/ca/brea/690-e-imperial-hwy/,Lovers (Sahibi),4.7,https://www.google.com/maps/place/Lovers/data=!4m7!3m6!1s0x80dcd50eb9658771:0x4d12d2ef2e944403!8m2!3d33.914064!4d-117.894484!16s%2Fg%2F1tmxwx1g!19sChIJcYdluQ7V3IARA0SULu_SEk0?authuser=0&hl=tr&rclk=1,
Suzie's Adult Superstore,151,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),4.7,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x80946755bf36613d:0xca896e097a5844db!8m2!3d36.7590151!4d-119.7908826!16s%2Fg%2F1tf8tblj!19sChIJPWE2v1VnlIAR20RYegluico?authuser=0&hl=tr&rclk=1,
Golden Dreams,136,,https://goldendreams1.com/,Golden Dreams (Sahibi),4.6,https://www.google.com/maps/place/Golden+Dreams/data=!4m7!3m6!1s0x809142ff394de8c7:0x232cf8f84f9fc776!8m2!3d37.2998676!4d-120.4803976!16s%2Fg%2F1q5gpz98j!19sChIJx-hNOf9CkYARdsefT_j4LCM?authuser=0&hl=tr&rclk=1,
Suzies Adult Superstore,133,,http://suzies.com/,Suzies Adult Superstore (Sahibi),4.8,https://www.google.com/maps/place/Suzies+Adult+Superstore/data=!4m7!3m6!1s0x80900cc78c18ef4f:0xbd301217ed96d145!8m2!3d38.0204898!4d-121.2758514!16s%2Fg%2F1tk8nv9_!19sChIJT-8YjMcMkIARRdGW7RcSML0?authuser=0&hl=tr&rclk=1,
Suzie's Adult Superstore,108,,http://suzies.com/,Suzie's Adult Superstore (Sahibi),4.8,https://www.google.com/maps/place/Suzie%27s+Adult+Superstore/data=!4m7!3m6!1s0x809aded0ce479c1b:0x6cc9301d420c346!8m2!3d38.6621226!4d-121.3447693!16s%2Fg%2F11h1skvsw!19sChIJG5xHztDemoARRsMg1AGTzAY?authuser=0&hl=tr&rclk=1,
