Campaign name,email,Instantly status,website,companyName,loca
,info@onurlaw.com,Completed | Contacted,http://www.onurlaw.com/,ONUR HUKUK AVUKATLIK VE DANISMANLIK OFISI,fahrettin kerim gokay caddesi
,info@mfy-partners.com,Completed | Contacted,http://www.mfy-partners.com/,MFY Partners Law Firm,azerbaycan caddesi
,info@utlawconsulting.com,Completed | Email opened but no reply,https://utlawconsulting.com/,U&T Law | U&T Hukuk,haci emin efendi sokagi
,info@axislawconsulting.com,Completed | Contacted,http://axislawconsulting.com/,AXIS LAW CONSULTING llmHm@ wlstshrt lqnwny@ wm`mlt ljnsy@ ltrky@,suvari caddesi
,info@octopuservice.com,Completed | Email opened but no reply,http://www.octopuservice.com/,OCTOPUS SERVICES LTD,tasocagi yolu caddesi
,info@mgc.com.tr,Completed | Email opened but no reply,http://www.mgc.com.tr/,"MGC Legal | Law Firm in Istanbul, Turkey",buyukdere caddesi
,info@atamer.av.tr,Completed | Contacted,https://www.atamer.av.tr/,Atamer Avukatlik Burosu,trump towers residence rezidansı
,info@mihci.av.tr,Bounced,https://mihci.av.tr/,Mihci Hukuk Burosu | Istanbul Avukat - Bosanma Avukati - Ceza Avukati - Is Hukuku Avukati - Icra Avukati,ortaklar caddesi
,info@kezer.av.tr,Bounced,http://www.kezer.av.tr/,Sahra Hukuk Burosu,derya sokagi
,info@narli.av.tr,Completed | Contacted,https://www.narli.av.tr/,NARLI Avukatlik & Hukuk Burosu | Beylikduzu Avukat,kahveci mahallesi
,info@baichukuk.com,Completed | Email opened but no reply,http://www.baichukuk.com/,BAIC Hukuk Burosu,buyukdere caddesi
,info@karatas.av.tr,Completed | Email opened but no reply,http://www.karatas.av.tr/,Karatas Hukuk Burosu,aytar caddesi
,info@aschukuk.com,Completed | Email opened but no reply,http://aschukuk.com/,ASC Hukuk,harman sokagi
,info@orhandogan.av.tr,Completed | Contacted,https://orhandogan.av.tr/,DOGAN HUKUK BUROSU / Av. Orhan DOGAN,efe boz sokagi
,av.azizemreyilmaz@gmail.com,Completed | Email opened but no reply,http://azizemreyilmaz.av.tr/,AVUKAT - AZIZ EMRE YILMAZ,vatan caddesi
,medya@mghukuk.av.tr,Completed | Contacted,https://www.mghukuk.av.tr/,MG HUKUK BUROSU - Av. METE GENCER - Marka&Patent Tescil ve Danismanlik Hizmetleri,baris sokagi
,info@sinanoglu.av.tr,Completed | Contacted,http://www.sinanoglu.av.tr/,Sinanoglu Avukatlik & Danismanlik,ayazma caddesi
