Campaign name,email,Instantly status,phone,website,companyName,loca,Location
,info@kivamhukuk.com,Completed | Email opened but no reply,(0212) 243 53 23,http://www.kivamhukuk.com/,KIVAM HUKUK BUROSU,imrahor caddesi,GURSEL MAH
,info@gulelhukuk.com,Completed | Contacted,(0212) 465 08 48,http://www.gulelhukuk.com/,Gulel Attorneys at Law,skyland sokagi,Huzur Mah Cendere Cad
,info@ersoyhukuk.com,Bounced,(0216) 410 08 18,http://www.ersoyhukuk.com/,ERSOY HUKUK BUROSU,sedef caddesi,Sedef Cd.
,info@anadoluhukukburosu.com,Completed | Contacted,(0212) 509 49 42,http://www.anadoluhukukburosu.com/,Anadolu Hukuk Burosu,Nazim Hikmet bulvarıı,Anadolu Hukuk
,info@erdallaw.com,Completed | Contacted,(0212) 217 50 34,http://www.erdallaw.com/iletisim/,Erdal Law,ulgen sokagi,Ulgen Sk.
,info@tansel.av.tr,Completed | Email opened but no reply,(0212) 706 87 56,http://www.tansel.av.tr/,TANSEL Attorneys at Law & Legal Management Consulting,Iz Plazası,TANSEL Attorneys at Law
,info@iccert.com,Completed | Contacted,(0216) 390 80 06,http://www.iccert.com/,iccert,icerenkoy mahallesi degirmenyolu caddesi,Icerenkoy mahallesi degirmenyolu caddesi no
,info@durukanpartners.com,Completed | Email opened but no reply,(0212) 266 66 93,http://www.durukanpartners.com/,Durukan+Partners,bestekar haci faik bey sokagi,Bestekar Haci Faik Bey Sk.
,info@akugurlaw.com,Completed | Contacted,0532 564 30 04,http://akugurlaw.com/,Akugur Hukuk Burosu,maslak mahallesi ahi evran caddesi,Maslak Mahallesi Ahi Evran Cad
,info@kose.av.tr,Completed | Email opened but no reply,0552 356 73 37,https://www.kose.av.tr/,Kose Hukuk Burosu,kasap sokagi,Kasap Sk.
,bilgi@atmhukukburosu.com,Completed | Contacted,(0212) 627 97 94,http://atmhukukburosu.com/,ATM HUKUK BUROSU,namik kemal caddesi,Namik Kemal Cad
